ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C02843V04551","Occupational Group","C04477V05260","Field of Study","UNIT","VALUE"
"HGO16C01","Number of Health Graduates","2010","2010","8","Process, plant and machine operatives","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","9","Elementary occupations","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","9","Elementary occupations","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","9","Elementary occupations","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","9","Elementary occupations","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","9","Elementary occupations","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","9","Elementary occupations","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","9","Elementary occupations","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","9","Elementary occupations","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","9","Elementary occupations","702","Social Care","Number","6"
"HGO16C01","Number of Health Graduates","2010","2010","9","Elementary occupations","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","9","Elementary occupations","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","9","Elementary occupations","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","21","Science, research, engineering and technology professionals","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","21","Science, research, engineering and technology professionals","401","Medical Science","Number","72"
"HGO16C01","Number of Health Graduates","2010","2010","21","Science, research, engineering and technology professionals","202","Medicine","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","21","Science, research, engineering and technology professionals","30","Nursing and Midwifery","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","21","Science, research, engineering and technology professionals","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","21","Science, research, engineering and technology professionals","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","21","Science, research, engineering and technology professionals","504","Physiotherapy","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","21","Science, research, engineering and technology professionals","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","21","Science, research, engineering and technology professionals","702","Social Care","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","21","Science, research, engineering and technology professionals","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","21","Science, research, engineering and technology professionals","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","21","Science, research, engineering and technology professionals","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","23","Teaching and educational professionals","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","23","Teaching and educational professionals","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","23","Teaching and educational professionals","202","Medicine","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","23","Teaching and educational professionals","30","Nursing and Midwifery","Number","12"
"HGO16C01","Number of Health Graduates","2010","2010","23","Teaching and educational professionals","501","Occupational Therapy","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","23","Teaching and educational professionals","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","23","Teaching and educational professionals","504","Physiotherapy","Number","9"
"HGO16C01","Number of Health Graduates","2010","2010","23","Teaching and educational professionals","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","23","Teaching and educational professionals","702","Social Care","Number","15"
"HGO16C01","Number of Health Graduates","2010","2010","23","Teaching and educational professionals","701","Social Work","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","23","Teaching and educational professionals","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","23","Teaching and educational professionals","V52","Dietetics, Optometry and Podiatry","Number","6"
"HGO16C01","Number of Health Graduates","2010","2010","24","Business, media and public service professionals","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","24","Business, media and public service professionals","401","Medical Science","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","24","Business, media and public service professionals","202","Medicine","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","24","Business, media and public service professionals","30","Nursing and Midwifery","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","24","Business, media and public service professionals","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","24","Business, media and public service professionals","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","24","Business, media and public service professionals","504","Physiotherapy","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","24","Business, media and public service professionals","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","24","Business, media and public service professionals","702","Social Care","Number","48"
"HGO16C01","Number of Health Graduates","2010","2010","24","Business, media and public service professionals","701","Social Work","Number","69"
"HGO16C01","Number of Health Graduates","2010","2010","24","Business, media and public service professionals","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","24","Business, media and public service professionals","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","2211","Medical practitioners","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2211","Medical practitioners","401","Medical Science","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","2211","Medical practitioners","202","Medicine","Number","135"
"HGO16C01","Number of Health Graduates","2010","2010","2211","Medical practitioners","30","Nursing and Midwifery","Number","6"
"HGO16C01","Number of Health Graduates","2010","2010","2211","Medical practitioners","501","Occupational Therapy","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","2211","Medical practitioners","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2211","Medical practitioners","504","Physiotherapy","Number","6"
"HGO16C01","Number of Health Graduates","2010","2010","2211","Medical practitioners","402","Radiography and Radiation Therapy","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","2211","Medical practitioners","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2211","Medical practitioners","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2211","Medical practitioners","10","Speech and Language Therapy","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","2211","Medical practitioners","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","2212","Psychologists","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2212","Psychologists","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2212","Psychologists","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2212","Psychologists","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2212","Psychologists","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2212","Psychologists","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2212","Psychologists","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2212","Psychologists","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2212","Psychologists","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2212","Psychologists","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2212","Psychologists","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2212","Psychologists","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2213","Pharmacists","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2213","Pharmacists","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2213","Pharmacists","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2213","Pharmacists","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2213","Pharmacists","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2213","Pharmacists","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2213","Pharmacists","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2213","Pharmacists","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2213","Pharmacists","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2213","Pharmacists","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2213","Pharmacists","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2213","Pharmacists","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2214","Ophthalmic opticians","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2214","Ophthalmic opticians","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2214","Ophthalmic opticians","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2214","Ophthalmic opticians","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2214","Ophthalmic opticians","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2214","Ophthalmic opticians","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2214","Ophthalmic opticians","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2214","Ophthalmic opticians","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2214","Ophthalmic opticians","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2214","Ophthalmic opticians","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2214","Ophthalmic opticians","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2214","Ophthalmic opticians","V52","Dietetics, Optometry and Podiatry","Number","9"
"HGO16C01","Number of Health Graduates","2010","2010","2215","Dental practitioners","201","Dentistry","Number","21"
"HGO16C01","Number of Health Graduates","2010","2010","2215","Dental practitioners","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2215","Dental practitioners","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2215","Dental practitioners","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2215","Dental practitioners","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2215","Dental practitioners","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2215","Dental practitioners","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2215","Dental practitioners","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2215","Dental practitioners","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2215","Dental practitioners","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2215","Dental practitioners","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2215","Dental practitioners","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2216","Veterinarians","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2216","Veterinarians","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2216","Veterinarians","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2216","Veterinarians","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2216","Veterinarians","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2216","Veterinarians","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2216","Veterinarians","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2216","Veterinarians","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2216","Veterinarians","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2216","Veterinarians","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2216","Veterinarians","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2216","Veterinarians","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2217","Medical radiographers","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2217","Medical radiographers","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2217","Medical radiographers","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2217","Medical radiographers","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2217","Medical radiographers","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2217","Medical radiographers","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2217","Medical radiographers","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2217","Medical radiographers","402","Radiography and Radiation Therapy","Number","36"
"HGO16C01","Number of Health Graduates","2010","2010","2217","Medical radiographers","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2217","Medical radiographers","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2217","Medical radiographers","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2217","Medical radiographers","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2218","Podiatrists","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2218","Podiatrists","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2218","Podiatrists","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2218","Podiatrists","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2218","Podiatrists","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2218","Podiatrists","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2218","Podiatrists","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2218","Podiatrists","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2218","Podiatrists","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2218","Podiatrists","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2218","Podiatrists","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2218","Podiatrists","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2219","Health professionals n.e.c.","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2219","Health professionals n.e.c.","401","Medical Science","Number",""
