ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C03434V04142","Nationality","C03686V04429","PPSN Validity","C03919V04671","Gender","C04477V05260","Field of Study","UNIT","VALUE"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","10","Male","501","Occupational Therapy","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","10","Male","60","Pharmacy","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","10","Male","504","Physiotherapy","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","10","Male","402","Radiography and Radiation Therapy","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","10","Male","702","Social Care","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","10","Male","701","Social Work","Number","3"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","10","Male","10","Speech and Language Therapy","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","10","Male","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","20","Female","201","Dentistry","Number","3"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","20","Female","401","Medical Science","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","20","Female","202","Medicine","Number","21"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","20","Female","30","Nursing and Midwifery","Number","30"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","20","Female","501","Occupational Therapy","Number","3"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","20","Female","60","Pharmacy","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","20","Female","504","Physiotherapy","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","20","Female","402","Radiography and Radiation Therapy","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","20","Female","702","Social Care","Number","21"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","20","Female","701","Social Work","Number","6"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","20","Female","10","Speech and Language Therapy","Number","3"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","20","Female","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","-","All genders","201","Dentistry","Number","6"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","-","All genders","401","Medical Science","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","10","PPSN - Available","-","All genders","202","Medicine","Number","42"
