ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C04237V05010","Years not captured","C04477V05260","Field of Study","UNIT","VALUE"
"HGO11C01","Number of Health Graduates","2010","2010","34","12 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","34","12 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","34","12 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","34","12 years","30","Nursing and Midwifery","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","34","12 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","34","12 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","34","12 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","34","12 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","34","12 years","702","Social Care","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","34","12 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","34","12 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","34","12 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","36","13 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","36","13 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","36","13 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","36","13 years","30","Nursing and Midwifery","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","36","13 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","36","13 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","36","13 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","36","13 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","36","13 years","702","Social Care","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","36","13 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","36","13 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","36","13 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","-","All Years","201","Dentistry","Number","18"
"HGO11C01","Number of Health Graduates","2010","2010","-","All Years","401","Medical Science","Number","24"
"HGO11C01","Number of Health Graduates","2010","2010","-","All Years","202","Medicine","Number","60"
"HGO11C01","Number of Health Graduates","2010","2010","-","All Years","30","Nursing and Midwifery","Number","336"
"HGO11C01","Number of Health Graduates","2010","2010","-","All Years","501","Occupational Therapy","Number","30"
"HGO11C01","Number of Health Graduates","2010","2010","-","All Years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","-","All Years","504","Physiotherapy","Number","45"
"HGO11C01","Number of Health Graduates","2010","2010","-","All Years","402","Radiography and Radiation Therapy","Number","12"
"HGO11C01","Number of Health Graduates","2010","2010","-","All Years","702","Social Care","Number","120"
"HGO11C01","Number of Health Graduates","2010","2010","-","All Years","701","Social Work","Number","15"
"HGO11C01","Number of Health Graduates","2010","2010","-","All Years","10","Speech and Language Therapy","Number","21"
"HGO11C01","Number of Health Graduates","2010","2010","-","All Years","V52","Dietetics, Optometry and Podiatry","Number","15"
"HGO11C01","Number of Health Graduates","2011","2011","12","1 year","201","Dentistry","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","12","1 year","401","Medical Science","Number","9"
"HGO11C01","Number of Health Graduates","2011","2011","12","1 year","202","Medicine","Number","33"
"HGO11C01","Number of Health Graduates","2011","2011","12","1 year","30","Nursing and Midwifery","Number","111"
"HGO11C01","Number of Health Graduates","2011","2011","12","1 year","501","Occupational Therapy","Number","12"
"HGO11C01","Number of Health Graduates","2011","2011","12","1 year","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","12","1 year","504","Physiotherapy","Number","12"
"HGO11C01","Number of Health Graduates","2011","2011","12","1 year","402","Radiography and Radiation Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","12","1 year","702","Social Care","Number","48"
"HGO11C01","Number of Health Graduates","2011","2011","12","1 year","701","Social Work","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","12","1 year","10","Speech and Language Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","12","1 year","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","14","2 years","201","Dentistry","Number","9"
"HGO11C01","Number of Health Graduates","2011","2011","14","2 years","401","Medical Science","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","14","2 years","202","Medicine","Number","9"
"HGO11C01","Number of Health Graduates","2011","2011","14","2 years","30","Nursing and Midwifery","Number","63"
"HGO11C01","Number of Health Graduates","2011","2011","14","2 years","501","Occupational Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","14","2 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","14","2 years","504","Physiotherapy","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","14","2 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","14","2 years","702","Social Care","Number","15"
"HGO11C01","Number of Health Graduates","2011","2011","14","2 years","701","Social Work","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","14","2 years","10","Speech and Language Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","14","2 years","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","16","3 years","201","Dentistry","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","16","3 years","401","Medical Science","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","16","3 years","202","Medicine","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","16","3 years","30","Nursing and Midwifery","Number","48"
"HGO11C01","Number of Health Graduates","2011","2011","16","3 years","501","Occupational Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","16","3 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","16","3 years","504","Physiotherapy","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","16","3 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","16","3 years","702","Social Care","Number","9"
"HGO11C01","Number of Health Graduates","2011","2011","16","3 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","16","3 years","10","Speech and Language Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","16","3 years","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","18","4 years","201","Dentistry","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","18","4 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","18","4 years","202","Medicine","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","18","4 years","30","Nursing and Midwifery","Number","27"
"HGO11C01","Number of Health Graduates","2011","2011","18","4 years","501","Occupational Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","18","4 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","18","4 years","504","Physiotherapy","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","18","4 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","18","4 years","702","Social Care","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","18","4 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","18","4 years","10","Speech and Language Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","18","4 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","20","5 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","20","5 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","20","5 years","202","Medicine","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","20","5 years","30","Nursing and Midwifery","Number","24"
"HGO11C01","Number of Health Graduates","2011","2011","20","5 years","501","Occupational Therapy","Number","9"
"HGO11C01","Number of Health Graduates","2011","2011","20","5 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","20","5 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","20","5 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","20","5 years","702","Social Care","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","20","5 years","701","Social Work","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","20","5 years","10","Speech and Language Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","20","5 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","22","6 years","201","Dentistry","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","22","6 years","401","Medical Science","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","22","6 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","22","6 years","30","Nursing and Midwifery","Number","15"
"HGO11C01","Number of Health Graduates","2011","2011","22","6 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","22","6 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","22","6 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","22","6 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","22","6 years","702","Social Care","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","22","6 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","22","6 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","22","6 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","24","7 years","201","Dentistry","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","24","7 years","401","Medical Science","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","24","7 years","202","Medicine","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","24","7 years","30","Nursing and Midwifery","Number","15"
"HGO11C01","Number of Health Graduates","2011","2011","24","7 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","24","7 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","24","7 years","504","Physiotherapy","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","24","7 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","24","7 years","702","Social Care","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","24","7 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","24","7 years","10","Speech and Language Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","24","7 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","26","8 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","26","8 years","401","Medical Science","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","26","8 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","26","8 years","30","Nursing and Midwifery","Number","12"
"HGO11C01","Number of Health Graduates","2011","2011","26","8 years","501","Occupational Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","26","8 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","26","8 years","504","Physiotherapy","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","26","8 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","26","8 years","702","Social Care","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","26","8 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","26","8 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","26","8 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","28","9 years","201","Dentistry","Number",""
