ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C03433V04141","Years since Graduation","C02511V03040","Private or Public Sector","C04477V05260","Field of Study","UNIT","VALUE"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","02","Public sector","504","Physiotherapy","Number","48"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","02","Public sector","402","Radiography and Radiation Therapy","Number","33"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","02","Public sector","702","Social Care","Number","123"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","02","Public sector","701","Social Work","Number","78"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","02","Public sector","10","Speech and Language Therapy","Number","54"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","02","Public sector","V52","Dietetics, Optometry and Podiatry","Number","12"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","-","All sectors","201","Dentistry","Number","6"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","-","All sectors","401","Medical Science","Number","96"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","-","All sectors","202","Medicine","Number","216"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","-","All sectors","30","Nursing and Midwifery","Number","876"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","-","All sectors","501","Occupational Therapy","Number","72"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","-","All sectors","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","05","5","-","All sectors","504","Physiotherapy","Number","75"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","-","All sectors","402","Radiography and Radiation Therapy","Number","42"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","-","All sectors","702","Social Care","Number","492"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","-","All sectors","701","Social Work","Number","90"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","-","All sectors","10","Speech and Language Therapy","Number","66"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","-","All sectors","V52","Dietetics, Optometry and Podiatry","Number","30"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","01","Private sector","201","Dentistry","Number","6"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","01","Private sector","401","Medical Science","Number","24"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","01","Private sector","202","Medicine","Number","30"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","01","Private sector","30","Nursing and Midwifery","Number","246"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","01","Private sector","501","Occupational Therapy","Number","9"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","01","Private sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","06","6","01","Private sector","504","Physiotherapy","Number","24"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","01","Private sector","402","Radiography and Radiation Therapy","Number","12"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","01","Private sector","702","Social Care","Number","357"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","01","Private sector","701","Social Work","Number","15"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","01","Private sector","10","Speech and Language Therapy","Number","15"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","01","Private sector","V52","Dietetics, Optometry and Podiatry","Number","15"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","02","Public sector","201","Dentistry","Number","6"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","02","Public sector","401","Medical Science","Number","78"
