ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C03433V04141","Years since Graduation","C04477V05260","Field of Study","UNIT","VALUE"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","08","8","202","Medicine","Euro","1607"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","08","8","30","Nursing and Midwifery","Euro","885"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","08","8","501","Occupational Therapy","Euro","915"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","08","8","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","08","8","504","Physiotherapy","Euro","887"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","08","8","402","Radiography and Radiation Therapy","Euro","1138"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","08","8","702","Social Care","Euro","690"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","08","8","701","Social Work","Euro","1018"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","08","8","10","Speech and Language Therapy","Euro","870"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","08","8","V52","Dietetics, Optometry and Podiatry","Euro","949"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","09","9","201","Dentistry","Euro","1036"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","09","9","401","Medical Science","Euro","1094"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","09","9","202","Medicine","Euro","1560"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","09","9","30","Nursing and Midwifery","Euro","919"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","09","9","501","Occupational Therapy","Euro","920"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","09","9","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","09","9","504","Physiotherapy","Euro","936"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","09","9","402","Radiography and Radiation Therapy","Euro","1177"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","09","9","702","Social Care","Euro","702"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","09","9","701","Social Work","Euro","1034"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","09","9","10","Speech and Language Therapy","Euro","913"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","09","9","V52","Dietetics, Optometry and Podiatry","Euro","1037"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","10","10","201","Dentistry","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","10","10","401","Medical Science","Euro","1163"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","10","10","202","Medicine","Euro","1690"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","10","10","30","Nursing and Midwifery","Euro","955"
